exchange,ticker,name,sector,website,lei,wikidata,hq_city,hq_latitude,hq_longitude
ASX,360,Life360,Information Technology,https://www.life360.com/,,Q109625706,,,
ASX,4DX,4DMedical,Healthcare,https://4dmedical.com/,,Q109626898,,,
ASX,88E,88 ENERGY LIMITED,,https://88energy.com/,213800YFW5171TD69V35,Q109626899,,,
ASX,A2M,a2 Milk Company,Consumer Staples,https://thea2milkcompany.com,,Q22909318,Sydney,-33.86778,151.21
ASX,AAC,Australian Agricultural Company,raising of other cattle and buffaloes,http://www.aaco.com.au/,,Q4823789,Brisbane,-27.46778,153.02778
ASX,AAI,Alcoa,Materials,http://www.alcoa.com,549300T12EZ1F6PWWU29,Q135325,New York City,40.71278,-74.00611
ASX,ABB,Aussie Broadband,telecommunications,https://www.aussiebroadband.com.au/,,Q28220211,Morwell,-38.23333,146.4
ASX,ABC,Adelaide Brighton Cement,construction,https://www.adbri.com.au/,,Q4681680,,,
ASX,ABP,Abacus Property Group,,https://www.abacusproperty.com.au,,Q106920455,,,
ASX,ABR,AMERICAN PACIFIC BORATES LIMITED,,https://americanpacificborates.com/,,Q109626902,,,
ASX,ABY,Adore Beauty,e-commerce,https://www.adorebeauty.com.au/,,Q28130669,Southbank,-37.829,144.957
ASX,ACL,Australian Clinical Labs,,https://www.clinicallabs.com.au/,,Q105256111,,,
ASX,ADA,Adacel,software industry,https://www.adacel.com/,,Q4678335,Melbourne,-37.81417,144.96306
ASX,ADH,Adairs,,https://www.adairs.co.nz,,Q109626904,,,
ASX,AEF,Australian Ethical Investment,financial services,http://www.australianethical.com.au/,,Q4824118,Sydney,-33.86778,151.21
ASX,AFI,Australian Foundation Investment Company,Financials,https://www.afi.com.au/,254900YODBY7EY7U4G44,Q106240682,Melbourne,-37.81417,144.96306
ASX,AFP,AFT Pharmaceuticals (New Zealand),,http://www.aftpharm.com/,,Q30268828,Auckland,-36.84917,174.76528
ASX,AGG,AngloGold Ashanti,mining,http://www.anglogoldashanti.com/,378900EF3BA9A5F42A59,Q541076,Johannesburg,-26.20436,28.04164
ASX,AGI,AINSWORTH GAME TECHNOLOGY LIMITED,,https://www.ainsworth.com.au/,,Q109626910,,,
ASX,AGL,AGL Energy,Utilities,https://www.agl.com.au/,,Q292374,Sydney,-33.86778,151.21
ASX,AGY,ARGOSY MINERALS LIMITED,,https://www.argosyminerals.com.au/,984500BAC6C46C7AF656,Q109626911,Perth,-31.95583,115.85972
ASX,AIA,Auckland International Airport Limited,Industrials,,549300HFZIZDJWB7AK60,Q106241087,,,
ASX,ALD,Ampol,Energy,https://www.ampol.com.au,,Q4748528,Casino,-28.86667,153.05
ASX,ALK,Alkane Resources,Materials,https://alkres.com/,,Q109626917,,,
ASX,ALL,Aristocrat Leisure,Consumer Discretionary,https://www.aristocrat.com/,,Q2861391,Sydney,-33.86778,151.21
ASX,ALQ,ALS,Industrials,https://www.alsglobal.com/,549300RYCQ8DMIO2J661,Q5028003,Brisbane,-27.46778,153.02778
ASX,ALX,Atlas Arteria,Industrials,http://www.macquarie.com/mgl/com/mqa,,Q3274789,,,
ASX,AMA,AMA GROUP LIMITED,,https://amagroupltd.com/,529900GIM8S1E8UCER31,Q109626918,Melbourne,-37.81417,144.96306
ASX,AMC,Amcor,Materials,http://www.amcor.com,,Q460307,Zurich,47.37444,8.54111
ASX,AMI,AURELIA METALS LIMITED,,https://aureliametals.com/,5493005OS7G5RY15ND07,Q109626920,,,
ASX,AMP,AMP,Financials,https://www.amp.com.au/,5299000D93LTLU0UJR35,Q295261,Sydney,-33.86778,151.21
ASX,ANN,Ansell,Healthcare,http://www.ansell.com/,,Q569499,Melbourne,-37.81417,144.96306
ASX,ANZ,Australia & New Zealand Banking Group,Financials,https://www.anz.co.nz/,,Q714641,Melbourne,-37.81417,144.96306
ASX,APA,APA Group,Utilities,http://www.apa.com.au/,549300T9RBSX164T8H40,Q20311412,,,
ASX,APE,Eagers Automotive,Consumer Discretionary,https://www.eagersautomotive.com.au,,Q107176279,,,
ASX,API,Australian Pharmaceutical Industries,pharmaceutical industry,http://www.api.net.au/,,Q4824558,New South Wales,-32,147
ASX,APT,Afterpay,fintech,https://www.afterpay.com/en-AU/index,,Q55639119,Melbourne,-37.81417,144.96306
ASX,APV,AppsVillage,,https://appsvillage.com,,Q67174463,,,
ASX,APX,Appen,artificial intelligence,https://www.appen.com,254900XDTS1IBK6ZMQ16,Q60741122,Chatswood,-33.79667,151.18139
ASX,ARB,ARB Corporation,Consumer Discretionary,,,Q109625709,,,
ASX,ARG,Argo Investments,Financials,http://www.argoinvestments.com.au,,Q4789628,Adelaide,-34.9275,138.6
ASX,ARI,Arrium,iron and steel industry,http://www.arrium.com/,,Q3244314,Sydney,-33.86778,151.21
ASX,ART,Airtasker,,https://www.airtasker.com/,,Q17000714,Sydney,-33.86778,151.21
ASX,ARU,Arafura Rare Earths,,https://www.arultd.com/,,Q16829889,,,
ASX,ASB,Austal,Industrials,https://www.austal.com/,,Q780696,Henderson,-32.169,115.781
ASX,ASK,Abacus Storage King,Real Estate,,,,,,
ASX,AST,AusNet Services,electric power industry,https://www.ausnetservices.com.au/,,Q7392701,Southbank,-37.829,144.957
ASX,ASX,ASX,Financials,https://www.asx.com.au/,549300VSBVYUCBIQKT71,Q732670,Sydney,-33.86778,151.21
ASX,ATB,Asian Development Bank,development aid,https://adb.org,549300X0MVH42CY8Q105,Q188822,Mandaluyong,14.58333,121.03333
ASX,ATM,Aneka Tambang,mining,http://www.antam.com/,,Q12472074,Jakarta,-6.17528,106.82694
ASX,AUB,AUB Group,Financials,,5493005X7SUBQF3OEG82,Q109626930,,,
ASX,AVG,Australian Vintage,winemaking,http://www.australianvintage.com.au/Home.aspx,,Q4824787,,,
ASX,AVH,Avita Medical,health care industry,http://www.avitamedical.com,,Q4828994,Perth,-31.95583,115.85972
ASX,AWC,Alumina Limited,aluminium industry,http://www.aluminalimited.com/,2138002VD9MW2WT8HR38,Q447403,Melbourne,-37.81417,144.96306
ASX,AXE,ARCHER MATERIALS LIMITED,,https://archerx.com.au/,,Q109432285,,,
ASX,AZJ,Aurizon,Industrials,http://www.aurizon.com.au/,,Q2783191,Brisbane,-27.46778,153.02778
ASX,BAP,Bapcor,,https://www.bapcor.com.au/,,Q109625710,Melbourne Airport,-37.6875,144.84056
ASX,BBN,Baby Bunting,,https://www.babybunting.com.au/,,Q109626935,,,
ASX,BEN,Bendigo & Adelaide Bank,Financials,https://www.bendigobank.com.au/,,Q4887077,Bendigo,-36.75,144.26667
ASX,BFL,BSP Financial Group,Financials,,549300000S0LQCY5B370,Q109625712,Port Moresby,-9.47889,147.14944
ASX,BGA,Bega Cheese,Consumer Staples,http://www.begacheese.com.au/,,Q22906698,Bega,-36.68472,149.84222
ASX,BGL,Bellevue Gold,Materials,https://bellevuegold.com.au/,,Q109626939,,,
ASX,BHP,BHP,Materials,https://www.bhp.com/,WZE1WSENV6JSZFK0JC28,Q625713,Melbourne,-37.81417,144.96306
ASX,BKG,Booktopia,retail,http://www.booktopia.com.au/,,Q22906861,,,
ASX,BKW,Brickworks Limited,,https://www.brickworks.com.au/,,Q4966056,,,
ASX,BLD,Boral,construction materials industry,https://www.boral.com/,,Q4944286,North Sydney,-33.83528,151.20944
ASX,BLX,Beacon Lighting,,https://www.beaconlighting.com.au/,,Q109626941,Mulgrave,-37.928,145.174
ASX,BMN,BANNERMAN ENERGY LTD,,https://bannermanenergy.com/,,Q109626943,,,
ASX,BOE,Boss Energy Ltd,,https://bossenergy.com/,9845000ED0A5F908A057,Q109626944,,,
ASX,BOQ,Bank of Queensland,Financials,https://www.boq.com.au/,,Q4856173,Brisbane,-27.46778,153.02778
ASX,BPT,Beach Energy,Energy,http://www.beachenergy.com.au/,,Q4875704,,,
ASX,BRG,Breville Group,Consumer Discretionary,https://brevillegroup.com/,,Q16846299,,,
ASX,BRL,Bathurst Resources,,https://bathurst.co.nz/,,Q104014123,Wellington,-41.28889,174.77722
ASX,BRN,BRAINCHIP HOLDINGS LTD,,https://brainchip.com/,529900BD8X9LIZTM7O70,Q109626945,,,
ASX,BSL,BlueScope,Materials,https://www.bluescope.com,,Q885589,120 Collins Street,-37.81383,144.9695
ASX,BST,Best & Less,retail,https://www.bestandless.com.au/,,Q4896542,Leichhardt,-33.8847,151.157
ASX,BVS,BRAVURA SOLUTIONS LIMITED.,,https://www.bravurasolutions.com/,,Q109626949,,,
