ticker,name,sector,lei
ACX,Acerinox SA,ES,95980020140005582721
ACS,"ACS Actividades De Construccion Y Servicios, S.A.",ES,95980020140005558665
AENA,Aena S.M.E. SA,ES,959800R7QMXKF0NFMT29
AI,Airtificial Intelligence Structures SA,ES,95980020140005635004
ALNT,"Alantra Partners, S.A.",ES,95980078NDTDLTDH6130
ALM,Almirall S.A.,ES,95980020140005007996
AMS,Amadeus IT Group Sociedad Anonima,ES,9598004A3FTY3TEHHN09
AMP,"Amper, S.A.",ES,959800GZESQUFLUH5402
EAT,AmRest Holdings SE,ES,259400T6ZDQIMDBGDN42
ARM,"Arima Real Estate Socimi, S.A.",ES,959800K5R280DP2B5694
A3M,"Atresmedia Corporacion De Medios De Comunicacion, S.A.",ES,95980020140005491929
ATRY,"Atrys Health, S.A.",ES,959800HHEE9W4TZA8627
ADX,Audax Renovables S.A.,ES,959800MAFGMXMGJHCH48
AZK,Azkoyen SA,ES,959800AXZW3EBUY24W90
SAB,Banco De Sabadell SA,ES,SI5RG2M0WQQLZCXKRM20
BKT,Bankinter Sociedad Anonima,ES,VWMYAEQSTOPNV0SUGU82
RIO,Bodegas Riojanas Sociedad Anonima,ES,9598006DQSU4NU073U58
CABK,Caixabank SA,ES,7CUNS533WID6K7DGFI87
CLNX,Cellnex Telecom SA,ES,5493008T4YG3AQUI7P67
CMO,Cementos Molins S.A.,ES,959800JRJW1CZ63R8P20
CIE,Cie Automotive SA,ES,95980020140005381252
CBAV,Clinica Baviera SA,ES,959800CR1BA43ZK65T94
CEV,Compañía Española De Viviendas En Alquiler S.A.,ES,959800QETXHEMRSX9V59
CLEO,Compañia Levantina De Edificacion Y Obras Publicas SA,ES,959800FJKW0UGKWEKN36
ANE,Corporacion Acciona Energias Renovables SA,ES,254900UPX0OEHTKB9Y44
ALB,"Corporacion Financiera Alba, S.A.",ES,959800CJH35NNZQQW653
COXG,Cox Abg Group SA,ES,549300GJVY6K3NC8MA89
OLE,Deoleo SA,ES,95980020140005319366
DESA,Desarrollos Especiales De Sistemas De Anclaje S.A.,ES,95980020140005019442
DIA,Distribuidora Internacional De Alimentacion SA,ES,54930063C6K2TNFL6H10
MDF,Duro Felguera SA,ES,95980020140005772356
EBRO,"Ebro Foods, S.A.",ES,959800NW6DLQT89M3240
ENER,"Ecoener, S.A.",ES,959800HBGZWHX69PE419
ENO,Elecnor SA,ES,95980020140005491250
ENG,"Enagas, S.A.",ES,213800OU3FQKGM4M2U23
ENC,Ence Energia Y Celulosa S.A.,ES,95980020140005309084
ELE,Endesa SA,ES,549300LHK07F2CHV4X31
ECR,Ercros S.A.,ES,959800Z611RK76NEVF32
FAE,Faes Farma SA,ES,959800FXZQY7U3P1G969
FDR,Fluidra S.A.,ES,95980020140005026620
FCC,Fomento De Construcciones Y Contratas S.A.,ES,95980020140005178328
GAM,"General De Alquiler De Maquinaria, S.A",ES,95980020140005731713
GEST,Gestamp Automocion SA,ES,95980020140005484363
DOM,Global Dominion Access SA,ES,95980020140005225955
GRE,Grenergy Renovables SA,ES,959800M1FVPL5BMW3R13
GRF,Grifols S.A.,ES,959800HSSNXWRKBK4N60
GCO,"Grupo Catalana Occidente, S.A.",ES,959800H2P9S8MS95DT42
GSJ,"Grupo Empresarial San Jose, SA",ES,9598002SMUBZZBE58976
EZE,Grupo Ezentis SA,ES,959800RCPA4USH4RFB78
IBE,Iberdrola SA,ES,5QK37QC7NWOJ8D7WVQ45
IBG,"Iberpapel Gestion, S.A.",ES,959800RG37G8456RGX60
IDR,"Indra Sistemas, S.A.",ES,95980020140005308793
ITX,"Industria De Diseño Textil, S.A.",ES,549300TTCXZOGZM2EY83
COL,Inmobiliaria Colonial Socimi Sociedad Anonima,ES,95980020140005007414
ISUR,"Inmobiliaria Del Sur, S.A.",ES,959800WGUAJ7RBWZRY77
IMC,Inmocemento S.A.,ES,959800FQZ6YAVHJPVE12
IAG,"International Consolidated Airlines Group, S.A.",ES,959800TZHQRUSH1ESL13
RJF,Laboratorio Reig Jofre S.A.,ES,9598003MRMJHA81QJF20
ROVI,Laboratorios Farmaceuticos Rovi S.A,ES,95980020140005936480
LIB,Libertas 7 Sociedad Anonima,ES,95980020140005821826
LDA,Linea Directa Aseguradora Sociedad Anonima Compañia De Seguros Y Reaseguros,ES,95980079E2NBJT967T79
LGT,"Lingotes Especiales, S.A.",ES,959800PV7FH0KLXNKE66
LOG,Logista Integral SA,ES,9598000ANNAL42UJ7X28
