ticker,name,sector,lei
III,3i,Financial services,35GDVHRBMFE7NWATNM84
3IN,3i Infrastructure,Financial Services,
FOUR,4imprint,Media,213800G95T751RN2CT94
BAG,A.G. Barr,Beverages,213800QWTXXXF8BNEC87
AAS,Aberdeen Asia Focus,Investment Trusts,
ABDN,Aberdeen Group,Financial Services,0TMBS544NMO7GLCE7H90
ASL,Aberforth Smaller Companies Trust,Investment Trusts,
ADM,Admiral Group,Insurance,213800FGVM7Z9EJB2685
AEP,AEP Plantations,Food Producers,
AAF,Airtel Africa,Telecommunications services,254900ZNZDQL6OWQH623
AJB,AJ Bell,Financial Services,213800VNKA7DPWXWJJ36
ALFA,Alfa Financial Software,Software and Computer Services,213800C5UOZHUTNUGA28
ALW,Alliance Witan,Investment Trusts,
ATT,Allianz Technology Trust,Investment Trusts,
AAL,Anglo American plc,Mining,549300S9XF92D1X8ME43
ANTO,Antofagasta plc,Mining,213800MY6QVH4FVLD628
AO,AO World,Retail,2138005FFOAJIUZY4375
APN,Applied Nutrition,Food Producers,213800KCP1IDX51ZHE47
ASHM,Ashmore Group,Financial Services,549300U3L59WB4YI2X12
AIE,Ashoka India Equity Investment Trust,Investment Trusts,
ABF,Associated British Foods,Food & tobacco,GBQKSY6W7G0OHCQ8OQ72
AML,Aston Martin Lagonda,Automobiles & Parts,213800167WOVOK5ZC776
AZN,AstraZeneca,Pharmaceuticals & biotechnology,PY6ZZQWO2IZFZC3IOL08
ATYM,Atalaya Mining,Industrial Metals and Mining,549300QNQPXVRXGXOX56
ATG,Auction Technology Group,Software and Computer Services,213800U8Q9K2XI3WRE39
AUTO,Autotrader Group,Media,213800QLK9BZILB1DI86
AGT,AVI Global Trust,Investment Trusts,
AV,Aviva,Life insurance,YF0Y5B0IB8SM0ZFG9G81
AVON,Avon Technologies,Industrial Goods and Services,213800JM1AN62REBWA71
BME,B&M,Retailers,213800JHYNDNB1NS2W10
BAB,Babcock International,Aerospace & defence,213800TSKOLX4EU6L377
BA,BAE Systems,Aerospace & defence,8SVCSVKSGDWMW2QHOH83
BGFD,Baillie Gifford Japan Trust,Investment Trusts,
USA,Baillie Gifford US Growth Trust,Investment Trusts,
BBY,Balfour Beatty,Construction & Materials,CT4UIJ3TUKGYYHMENQ17
BCG,Baltic Classifieds,Consumer Digital Services,213800I1RPHCFSSQS969
BNKR,Bankers Investment Trust,Investment Trusts,
BARC,Barclays,Banks,213800LBQA1Y9L22JB70
BTRW,Barratt Redrow,Household goods & home construction,2138006R85VEOF5YNK29
BEZ,Beazley,Insurance,213800VTOMUWD41GIT12
BWY,Bellway,Home Construction,213800VNKA7DPWXWJJ36
BKG,Berkeley Group Holdings,Household goods & home construction,2138009OQSSLVVHQAL78
BHMG,BH Macro,Hedge Funds,
BYG,Big Yellow Group,Real Estate Investment Trusts,
BPCR,Biopharma Credit,Investment Trusts,
BRGE,BlackRock Greater Europe Investment Trust,Investment Trusts,
BRSC,BlackRock Smaller Companies Trust,Investment Trusts,
BRWM,BlackRock World Mining Trust,Investment Trusts,
BMY,Bloomsbury Publishing,Media,213800ZL2PEC4C6UOQ53
BOY,Bodycote,Industrial Engineering,213800V93QFW53NB7Y29
BP,BP,Oil & gas producers,213800LH1BZH3DI6G760
BREE,Breedon Group,Construction & Materials,213800DQGNQE3X76WS92
BPT,Bridgepoint Group,Financial Services,213800KFNMVI8PDZX472
BATS,British American Tobacco,Tobacco,213800FKA5MF17RJKT63
BLND,British Land,Real estate,RV5B68J2GV3QGMRPW209
BUT,Brunner Investment Trust,Investment Trusts,
BT.A,BT Group,Telecommunications services,213800LRO7NS5CYQMN21
BNZL,Bunzl,Support services,213800Q1Q9DV4L78UM09
BRBY,Burberry Group,Personal goods,213800PE1KEFCNFR1R50
BYIT,Bytes Technology Group,Aerospace & Defence,213800LA4DZLFBAC9O33
CLDN,Caledonia Investments,Investment Trusts,
CGT,Capital Gearing Trust,Investment Trusts,
CNA,Centrica,Multiline utilities,E26EDV109X6EEPBKVH76
CWR,Ceres Power,Alternative Energy,213800N7AAHSXQUOA733
CHG,Chemring Group,Aerospace & Defence,213800U9A54VQJ5P2J41
CSN,Chesnara,Life Insurance,213800VFRMBRTSZ3SJ06
CTY,City of London Investment Trust,Investment Trusts,
CKN,Clarkson,Industrial Transportation,2138007G6BGTEHI3OT22
CBG,Close Brothers Group,Financial Services,213800W73SYHR14I3X91
CMCX,CMC Markets,Financial Services,213800VB75KAZBFH5U07
COA,Coats Group,Consumer Staples,2138003SPYWGAITNFY17
