ticker,name,sector,lei
ASLI,Abrdn European Logistics Income plc,,213800I9IYIKKNRT3G50
API,Abrdn Property Income Trust Limited,,549300HHFBWZRKC7RW84
AC8,Acceler8 Ventures plc,,2138004B1HKZP1OR2C72
AFP,African Pioneer plc,,213800QQF8O18CMJPW43
ALK,Alkemy Capital Investments plc,,213800NW5GVIRMXSRL48
AWE,Alphawave IP Group plc,,213800ZXTO21EU4VMH37
AIRE,Alternative Income REIT plc,,213800MPBIJS12Q88F71
TERA,Altona Rare Earths plc,,2138002A5GU9BFS2I491
ALTN,Altyngold plc,,213800MELPBPHIR1PO04
DISH,Amala Foods plc,,213800XAECC5GN8ZOU38
AMIF,Amicorp FS (UK) plc,,21380028AUYWGMYXQA57
AMGO,Amigo Holdings plc,,213800PUHEBLCWDW9T74
AEX,Aminex PLC,,635400CSEBJAYPUUFC95
APTD,Aptitude Software Group plc,,2138009VHA1WI2VKMA28
ASAI,Asa International Group plc,,213800NSIUMXPDHUEO94
ASPL,Aseana Properties Limited,,2138006H7PF4CNUEVT05
AT,Ashtead Technology Holdings plc,,213800LHEWVY66RPGR58
ASC,Asos plc,,213800H8DBB8JSKDW630
ASBE,Associated British Engineering plc,,213800MYKAWRRE9C9U05
AVAP,Avation plc,,213800KA972GUP1B6I78
BAY,Bay Capital plc,,213800F59868OZQU6E56
BISI,Bisichi plc,,213800RRWN6ZBPW2ZV03
BMV,Bluebird Mining Ventures Ltd,,213800QLGKFZHML52C51
BIH,Boston International Holdings plc,,213800OVVYT6ZUJUXD69
BMS,Braemar plc,,213800EV6IKTTHJ83C19
BRK,Brooks Macdonald Group plc,,213800WRDF8LB8MIEX37
CCR,C & C Group Public Limited Company,,635400LNUHA2LDXXV850
CABA,CAB Payments Holdings PLC,,8945007OZHZDN4LW1G21
CAD,Cadogan Energy Solutions plc,,213800JIBKL29FAK1213
CFYN,Caffyns Public Limited Company,,213800ZKS5B1M3YXVV76
CRN,Cairn Homes Public Limited Company,,635400DPX6WP2KKDOA83
CAN,Canal+,,9695000537F9F73BXN18
CPI,Capita plc,,CMIGEWPLHL4M7ZV0IZ88
CNE,Capricorn Energy plc,,213800ZJEUQ8ZOC9AL24
CAR,Carclo plc,,21380078MEM399JPI956
CARD,Card Factory plc,,213800TTSOPFVCKPFQ11
CDFF,Cardiff Property Public Limited Company(The),,213800GE3FA4C52C1N05
