zip,city,state,country,latitude,longitude
0800,Darwin,AU,AU,-12.46145,130.84275
0801,Darwin,AU,AU,-12.46110,130.84180
0803,Darwin,AU,AU,-12.43480,130.74430
0804,Darwin,AU,AU,-12.43050,130.84140
0810,Darwin,AU,AU,-12.37458,130.87517
0811,Darwin,AU,AU,-12.37400,130.88220
0812,Darwin,AU,AU,-12.38196,130.90060
0813,Darwin,AU,AU,-12.40220,130.91600
0814,Darwin,AU,AU,-12.38300,130.85170
0815,Darwin,AU,AU,-12.37790,130.88300
0820,Darwin,AU,AU,-12.43091,130.85584
0821,Darwin,AU,AU,-12.42920,130.88590
0822,Palmerston,AU,AU,-12.72820,131.66498
0828,Darwin,AU,AU,-12.43085,130.93590
0829,Darwin,AU,AU,-12.45305,130.98270
0830,Darwin,AU,AU,-12.49051,130.97883
0831,Darwin,AU,AU,-12.48600,130.98330
0832,Palmerston,AU,AU,-12.50116,130.99610
0834,Litchfield,AU,AU,-12.51900,131.02840
0835,Litchfield,AU,AU,-12.51263,131.03813
0836,Litchfield,AU,AU,-12.54480,131.12023
0837,Litchfield,AU,AU,-12.72210,131.13495
0838,Litchfield,AU,AU,-12.70040,131.01450
0839,Litchfield,AU,AU,-12.52310,131.04150
0840,Unincorporated NT,AU,AU,-12.78467,130.47360
0841,Litchfield,AU,AU,-12.81930,130.96970
0845,Coomalie,AU,AU,-13.05050,131.03070
0846,Coomalie,AU,AU,-13.23790,131.10560
0847,Victoria Daly,AU,AU,-13.82080,131.83290
0850,Roper Gulf,AU,AU,-14.45718,132.27405
0851,Katherine,AU,AU,-14.46520,132.26350
0852,Binjari,AU,AU,-15.67618,132.68638
0853,Katherine,AU,AU,-14.53120,132.37930
0854,Roper Gulf,AU,AU,-15.44780,132.61090
0860,Barkly,AU,AU,-18.22160,134.25420
0861,Barkly,AU,AU,-18.22160,134.25420
0862,Roper Gulf,AU,AU,-18.22158,134.25418
0870,Alice Springs,AU,AU,-22.26760,133.17580
0871,Alice Springs,AU,AU,-22.26760,133.17580
0872,Laverton,AU,AU,-22.20191,133.14299
0873,MacDonnell,AU,AU,-22.26760,133.17580
0874,Alice Springs,AU,AU,-23.64690,133.86480
0875,Alice Springs,AU,AU,-22.26760,133.17580
0880,East Arnhem,AU,AU,-12.26754,136.59252
0881,East Arnhem,AU,AU,-12.18160,136.77840
0885,East Arnhem,AU,AU,-13.85410,136.42130
0886,West Arnhem,AU,AU,-12.67050,132.83600
0906,Darwin,AU,AU,-12.42920,130.88590
0907,Darwin,AU,AU,-12.42920,130.88590
0909,Darwin,AU,AU,-12.42920,130.88590
1001,Sydney,AU,AU,-33.86780,151.20730
1002,Sydney,AU,AU,-33.86780,151.20730
