zip,city,state,country,latitude,longitude
01001,Vitoria-Gasteiz,ES,ES,42.84900,-2.67240
01002,Vitoria-Gasteiz,ES,ES,42.85250,-2.66100
01003,Vitoria-Gasteiz,ES,ES,42.84590,-2.65820
01004,Vitoria-Gasteiz,ES,ES,42.84420,-2.66670
01005,Vitoria-Gasteiz,ES,ES,42.84350,-2.67150
01006,Vitoria-Gasteiz,ES,ES,42.83760,-2.66550
01007,Vitoria-Gasteiz,ES,ES,42.83580,-2.69385
01008,Vitoria-Gasteiz,ES,ES,42.84720,-2.68330
01009,Vitoria-Gasteiz,ES,ES,42.85350,-2.68500
01010,Vitoria-Gasteiz,ES,ES,42.85770,-2.69967
01012,Vitoria-Gasteiz,ES,ES,42.85460,-2.67680
01013,Vitoria-Gasteiz,ES,ES,42.87173,-2.66263
01015,Vitoria-Gasteiz,ES,ES,42.84210,-2.70310
01071,Vitoria-Gasteiz,ES,ES,42.85000,-2.67270
01080,Vitoria-Gasteiz,ES,ES,42.85000,-2.67270
01100,Centro Militar Araka,ES,ES,42.84030,-2.60550
01110,Santa Cruz De Campezo,ES,ES,42.66970,-2.35120
01117,Harana/Valle De Arana,ES,ES,42.74253,-2.33657
01118,Obecuri,ES,ES,42.63710,-2.53206
01120,Arraia-Maeztu,ES,ES,42.73905,-2.44665
01128,Azazeta,ES,ES,42.69602,-2.44175
01129,Onraita,ES,ES,42.78887,-2.43826
01130,Zuia,ES,ES,42.95705,-2.81960
01138,Ondategi,ES,ES,42.95834,-2.72567
01139,Gilierna,ES,ES,42.95132,-2.83205
01160,Ibarra,ES,ES,43.05160,-2.56520
01165,Oleta,ES,ES,43.04740,-2.63170
01169,Arexola,ES,ES,43.04539,-2.56454
01170,Legutio,ES,ES,42.96722,-2.66213
01191,Uribarri-Dibiña,ES,ES,42.86867,-2.76860
01192,Arbulu,ES,ES,42.85870,-2.57451
01193,Ixona,ES,ES,42.82746,-2.55712
01194,Castillo,ES,ES,42.80767,-2.64533
01195,Gometxa,ES,ES,42.83058,-2.75250
01196,Antezana/Andetxa,ES,ES,42.89425,-2.71852
01200,Agurain,ES,ES,42.85160,-2.39120
01206,Mendijur,ES,ES,42.88288,-2.48618
01207,Mezkia,ES,ES,42.84204,-2.37433
01208,Albeiz,ES,ES,42.89961,-2.38891
01211,Moraza,ES,ES,42.67126,-2.78210
01212,Ocio,ES,ES,42.64976,-2.79818
01213,Leziñana,ES,ES,42.74671,-2.93546
01216,Faidu,ES,ES,42.69915,-2.58988
01220,Manzanos,ES,ES,42.73361,-2.86714
01230,Nanclares De La Oca,ES,ES,42.81840,-2.80950
01240,Alegria-Dulantzi,ES,ES,42.84120,-2.51180
01250,Araia,ES,ES,42.89190,-2.31420
01260,Urabain,ES,ES,42.86534,-2.27746
01300,Laguardia,ES,ES,42.55460,-2.58530
01306,Lapuebla De Labarca,ES,ES,42.49450,-2.57340
01307,Mañueta,ES,ES,42.54482,-2.67408
01308,Assa,ES,ES,42.55758,-2.51060
01309,Leza,ES,ES,42.56192,-2.59046
01320,Oion,ES,ES,42.50475,-2.43680
01321,Laserna,ES,ES,42.50150,-2.50630
01322,Labraza,ES,ES,42.55088,-2.42716
01330,Labastida,ES,ES,42.58970,-2.79570
01340,Elciego,ES,ES,42.51520,-2.61860
01400,Laudio/Llodio,ES,ES,43.14200,-2.96520
01408,Luiaondo,ES,ES,43.09930,-2.99900
01409,Irabien,ES,ES,42.89723,-2.39187
01420,Paul,ES,ES,42.79499,-2.92489
01423,Bellojin,ES,ES,42.78851,-3.04339
01426,Villanueva De Valdegovia,ES,ES,42.83876,-3.04279
01427,Valpuesta,ES,ES,42.87243,-3.16813
01428,Villaluenga,ES,ES,42.82146,-2.91251
01430,Zuhatzu-Kuartango,ES,ES,42.86990,-2.88670
01439,Etxabarri-Kuartango,ES,ES,42.89619,-2.89135
01440,Urkabustaiz,ES,ES,42.95350,-2.90105
01449,Abezia,ES,ES,42.96530,-2.91341
01450,Ziorraga,ES,ES,43.02806,-2.95798
01468,Saratxo,ES,ES,42.99927,-2.99505
01470,Etxegoien,ES,ES,43.05135,-3.00045
01474,Artziniega,ES,ES,43.12190,-3.13020
