zip,city,state,country,latitude,longitude
10010,Watala,PK,PK,32.90230,74.29620
10012,Moil,PK,PK,32.84030,74.34850
10020,Barnala,PK,PK,32.87070,74.24660
10040,Bhimber,PK,PK,32.97465,74.07846
10042,Dheri Wattan,PK,PK,32.99200,73.99180
10044,Barsali,PK,PK,32.92670,74.09440
10070,Barjah,PK,PK,33.16170,73.99560
10080,Chowki,PK,PK,33.92140,74.17280
10090,Bindi,PK,PK,33.12560,74.04470
10200,Mangla,PK,PK,31.89306,72.38167
10300,Siakh,PK,PK,33.26090,73.67230
10310,Khadimabad,PK,PK,33.30680,73.63600
10350,Chechian,PK,PK,33.21550,73.74350
10370,Banni,PK,PK,33.85820,73.73190
10382,Kalri,PK,PK,33.06610,73.89950
10400,Panjeri,PK,PK,33.02290,73.91540
10450,Potha Bainsi,PK,PK,33.13360,73.85320
10480,Jatti Dheri,PK,PK,33.18040,73.87670
10500,Chak,PK,PK,27.85838,68.83378
10510,Pind Kalan,PK,PK,33.27600,73.76160
10520,Palak,PK,PK,33.32890,73.76670
10534,Behari,PK,PK,34.74570,73.63300
10540,Ratta,PK,PK,34.76800,74.28060
10544,Thara,PK,PK,34.23430,73.83040
11010,Sehnsa,PK,PK,33.51366,73.75479
11014,Potha,PK,PK,33.53330,73.69570
11030,Gulpur,PK,PK,33.43550,73.85650
11032,Baratla,PK,PK,33.34410,73.90840
11040,Nar,PK,PK,33.39470,73.82970
11100,Kotli,PK,PK,33.51836,73.90220
11110,Sarsawa,PK,PK,33.56300,73.84800
11120,Panjera,PK,PK,33.57470,73.82690
11160,Tatta Pani,PK,PK,33.60770,73.94990
11180,Mohra Sharif Kotli,PK,PK,33.51620,74.12540
11210,Seri,PK,PK,33.42480,73.92030
11250,Charhoi,PK,PK,33.30185,73.95484
11260,Kala Dab,PK,PK,33.23740,73.90780
12014,Tahlian,PK,PK,33.61670,73.77570
12030,Baral,PK,PK,33.64430,73.68890
12034,Panthal,PK,PK,33.61380,73.72750
12040,Chachan,PK,PK,32.97090,73.97710
12070,Nalian,PK,PK,33.68240,73.75130
12080,Tarar Khel,PK,PK,33.68110,73.76390
12120,Baloch,PK,PK,33.64550,73.81580
12170,Maindla,PK,PK,33.73030,73.95450
12180,Mandhole,PK,PK,33.67600,73.95070
12220,Khurshidabad,PK,PK,30.64750,72.34490
12252,Ali Sojal,PK,PK,33.85690,73.84310
12270,Hussain Kot,PK,PK,30.23930,73.67170
12300,Mang,PK,PK,33.79870,73.63240
12310,Thorar,PK,PK,33.84740,73.63980
12330,Lunjgran,PK,PK,33.83140,73.69770
12380,Chak,PK,PK,27.85838,68.83378
12390,Sanghola,PK,PK,33.88810,73.78830
12400,Mohri Farman Shah,PK,PK,33.91320,73.72730
12410,Hurnamaira,PK,PK,33.87700,73.70210
12420,Paniola,PK,PK,33.92080,73.68800
12440,Datoot,PK,PK,33.48440,74.12750
12460,Arja,PK,PK,33.97590,73.65540
12500,Bagh,PK,PK,33.98111,73.77608
12510,Birpani,PK,PK,34.05180,73.75230
12520,Kharal Abbasian,PK,PK,33.98710,73.84320
12560,Barikot,PK,PK,34.67770,72.22300
12570,Dhulli,PK,PK,32.86270,72.19430
12600,Dhirkot,PK,PK,34.03917,73.57694
12610,Rangla,PK,PK,32.06130,74.49480
12620,Chirala,PK,PK,33.97160,73.57410
13100,Muzaffarabad,PK,PK,34.37002,73.47082
13170,Chikar,PK,PK,34.44290,73.57520
13180,Hattian Bala,PK,PK,34.17040,73.73379
13190,Chenari,PK,PK,34.15970,73.81560
13200,Kahuri,PK,PK,34.56880,73.83070
13220,Karnah,PK,PK,34.41240,73.43130
13224,Jura,PK,PK,34.48840,73.83100
13232,Sharda,PK,PK,34.79320,74.19200
13234,Kel,PK,PK,34.82540,74.35340
13240,Chakothi,PK,PK,34.11500,73.88350
14150,Jaglot,PK,PK,35.68842,74.62412
14200,Bunji,PK,PK,35.64770,74.63050
14400,Chilam,PK,PK,35.03220,75.10490
15100,Gilgit,PK,PK,35.91869,74.31245
15150,Jutial,PK,PK,35.90580,74.35310
15160,Singal,PK,PK,36.11160,73.89520
15300,Gupis,PK,PK,36.22810,73.44720
15310,Yasin,PK,PK,36.37290,73.33360
15350,Teru,PK,PK,36.18030,72.75880
15400,Sikandarabad,PK,PK,36.24260,74.37520
15500,Chalt,PK,PK,36.25170,74.32270
15550,Nasirabad,PK,PK,27.38137,67.91644
15600,Aliabad,PK,PK,36.31540,74.65270
15650,Nagar,PK,PK,36.27540,74.71960
15700,Karimabad,PK,PK,36.32692,74.66141
15750,Gulmit,PK,PK,36.38760,74.86450
15900,Misgar,PK,PK,36.61270,74.86370
16100,Skardu,PK,PK,35.29787,75.63372
16110,Astana,PK,PK,35.28230,75.60870
16150,Kachura,PK,PK,35.44060,75.44800
16200,Skardu,PK,PK,35.29787,75.63372
16250,Hussainabad,PK,PK,34.75910,75.71860
16300,Shigar,PK,PK,35.42380,75.73910
16310,Gulabpur,PK,PK,32.49030,73.13950
16350,Sermik,PK,PK,35.20060,75.80900
16400,Mehdiabad,PK,PK,35.68490,75.01980
16450,Tolti,PK,PK,35.02820,76.09210
16500,Baghicha,PK,PK,34.90190,76.19810
16700,Kiris,PK,PK,35.23050,75.94400
16800,Khaplu,PK,PK,35.16220,76.33380
16900,Thagas,PK,PK,35.21440,76.46300
16920,Goma,PK,PK,35.14560,76.79600
17010,Brep,PK,PK,35.92680,71.52650
17100,Kosht,PK,PK,36.24200,72.15930
17110,Reshun,PK,PK,36.15710,72.10400
17130,Garam Chashma,PK,PK,35.99300,71.55940
17200,Chitral,PK,PK,35.85180,71.78636
17210,Ayun,PK,PK,35.72540,71.77280
17220,Drosh,PK,PK,35.56040,71.79600
17230,Broz,PK,PK,35.39410,71.67810
17240,Nagar,PK,PK,34.03600,72.94900
17250,Aranda,PK,PK,34.22430,71.53620
17290,Daggar,PK,PK,33.19700,71.14240
18000,Dir,PK,PK,35.20740,71.87680
18100,Barawal Bandi,PK,PK,35.09050,71.76360
18150,Darora,PK,PK,35.10250,71.98810
18300,Timargara,PK,PK,34.82660,71.84420
18500,Munda,PK,PK,34.82370,71.68560
18600,Samar Bagh,PK,PK,34.05010,71.60510
18650,Khar,PK,PK,34.73610,71.52739
18760,Pir Khel,PK,PK,34.57980,71.80800
18800,Chakdara,PK,PK,34.66160,72.03240
19010,Bahrain,PK,PK,35.20930,72.54850
19020,Madyan,PK,PK,35.14100,72.53820
19030,Fatehpur,PK,PK,31.17772,71.20480
19040,Matta,PK,PK,34.92920,72.41460
19044,Chuprial,PK,PK,34.98110,72.36320
19060,Kabal,PK,PK,34.79070,72.28240
19080,Kana,PK,PK,34.93330,72.96070
19100,Alpurai,PK,PK,34.90290,72.64430
19120,Charbagh,PK,PK,34.50070,73.02800
19130,Mangora,PK,PK,33.87530,73.97600
19140,Aman Kot,PK,PK,34.26240,72.43720
19150,Aloch,PK,PK,34.73910,72.68420
19210,Rahim Abad,PK,PK,28.43360,67.91580
19240,Barikot,PK,PK,34.77340,71.90480
19260,Jewar,PK,PK,34.47510,72.93110
20100,Dassu,PK,PK,35.72000,75.52080
20200,Pattan,PK,PK,34.68660,73.48480
20300,Ranolia,PK,PK,35.04920,72.89060
20500,Besham,PK,PK,34.92940,72.87910
21020,Muslim Abad,PK,PK,34.40020,71.90180
21030,Thakot,PK,PK,34.75000,72.91670
21032,Banna,PK,PK,34.83070,73.06480
21036,Rashang,PK,PK,34.81980,73.11960
21040,Battagram,PK,PK,34.67719,73.02329
21062,Chohan,PK,PK,34.59620,73.06200
