zip,city,state,latitude,longitude
AB10,Aberdeen,UK,57.14370,-2.09810
AB11,Aberdeen,UK,57.14370,-2.09810
AB12,Aberdeen,UK,57.14370,-2.09810
AB13,Aberdeen,UK,57.10860,-2.23920
AB14,Peterculter,UK,57.09930,-2.26590
AB15,Aberdeen,UK,57.13780,-2.16630
AB16,Aberdeen,UK,57.16000,-2.15670
AB21,Aberdeen,UK,57.21110,-2.20370
AB22,Danestone,UK,57.18650,-2.12140
AB23,Delfrigs,UK,57.23273,-2.07896
AB24,Aberdeen,UK,57.14370,-2.09810
AB25,Aberdeen,UK,57.14370,-2.09810
AB30,Auchenblae,UK,56.83076,-2.55823
AB31,East Learney,UK,57.09104,-2.54558
AB32,Achath,UK,57.15279,-2.36239
AB33,Hillockhead,UK,57.22598,-2.74170
AB34,Aboyne,UK,57.08929,-2.82580
AB35,Easter Balmoral,UK,57.03684,-3.15562
AB36,Tornahaish,UK,57.19871,-3.06636
AB37,Bridge of Brown,UK,57.26821,-3.34569
AB38,Carron,UK,57.48489,-3.23576
AB39,Aberdeen,UK,56.97730,-2.21840
AB41,Tipperty,UK,57.35965,-2.19993
AB42,Waterhill of Bruxie,UK,57.48231,-1.92483
AB43,Towie,UK,57.65490,-2.04688
AB44,Newtown,UK,57.66920,-2.49465
AB45,Auds,UK,57.60101,-2.52641
AB51,Hillbrae,UK,57.27689,-2.44228
AB52,Insch,UK,57.34029,-2.59351
AB53,Turriff,UK,57.52383,-2.39012
AB54,Bainshole,UK,57.38858,-2.81344
AB55,Aultnapaddock,UK,57.45870,-3.14410
AB56,Cullen,UK,57.67444,-2.92192
AB99,Aberdeen City,UK,57.11130,-2.09400
AL1,St Albans,UK,51.75000,-0.33330
AL10,Hatfield,UK,51.76340,-0.22420
AL2,Bricket Wood,UK,51.72060,-0.31490
AL3,St Stephens,UK,51.81540,-0.41840
AL4,Blackmore End,UK,51.77678,-0.28428
AL5,Hatching Green,UK,51.81680,-0.35710
AL6,Tewin,UK,51.82569,-0.21367
AL7,Hatfield Hyde,UK,51.79690,-0.18710
AL8,Digswell,UK,51.81258,-0.19930
AL9,Woodside,UK,51.74751,-0.19217
B1,Birmingham,UK,52.48140,-1.89980
B10,Birmingham,UK,52.46980,-1.85230
B11,Birmingham,UK,52.45480,-1.85960
B12,Birmingham,UK,52.48140,-1.89980
B13,Springfield,UK,52.44200,-1.88385
B14,King's Heath,UK,52.41740,-1.88980
B15,Edgbaston,UK,52.46230,-1.92120
B16,Birmingham,UK,52.47680,-1.93410
B17,Harborne,UK,52.45850,-1.95730
B18,Birmingham,UK,52.48140,-1.89980
B19,Birmingham,UK,52.48140,-1.89980
B2,Birmingham,UK,52.48140,-1.89980
B20,Birmingham,UK,52.51560,-1.91950
B21,Handsworth,UK,52.50640,-1.94060
B23,Short Heath,UK,52.52820,-1.85490
B24,Tyburn,UK,52.52635,-1.80900
B25,Yardley,UK,52.46510,-1.82275
B26,South Yardley,UK,52.45953,-1.78733
B27,Acock's Green,UK,52.44470,-1.82290
B28,Hall Green,UK,52.42720,-1.84320
B29,Bournbrook,UK,52.43930,-1.94020
B3,Birmingham,UK,52.48140,-1.89980
B30,Cotteridge,UK,52.41670,-1.91670
B31,Longbridge,UK,52.40835,-1.97500
B32,Frankley,UK,52.43260,-1.99735
B33,Tile Cross,UK,52.48040,-1.78830
B34,Birmingham,UK,52.49630,-1.78180
B35,Birmingham,UK,52.51880,-1.78910
B36,Castle Bromwich,UK,52.50190,-1.78260
B37,Marston Green,UK,52.46850,-1.74820
B38,West Heath,UK,52.39990,-1.93490
B4,Birmingham,UK,52.48140,-1.89980
B40,Birmingham,UK,52.45890,-1.72350
B42,Perry Barr,UK,52.51580,-1.90170
B43,Great Barr,UK,52.54720,-1.93190
B44,Kingstanding,UK,52.54570,-1.88510
B45,Barnt Green,UK,52.37938,-2.00872
B46,Coleshill,UK,52.50952,-1.67478
B47,Drakes Cross,UK,52.37520,-1.87570
B48,Rowney Green,UK,52.36750,-1.95768
B49,Great Alne,UK,52.22421,-1.83744
B5,Birmingham,UK,52.48140,-1.89980
