zip,city,state,latitude,longitude
00501,Holtsville,NY,40.815400,-73.045100
00544,Holtsville,NY,40.815400,-73.045100
00601,,,18.180555,-66.749961
00602,,,18.361945,-67.175597
00603,,,18.457399,-67.124867
00606,,,18.158320,-66.932928
00610,,,18.295304,-67.125180
00611,,,18.276316,-66.807165
00612,,,18.416727,-66.700090
00616,,,18.420408,-66.671986
00617,,,18.446889,-66.561154
00622,,,17.988103,-67.160357
00623,,,18.084371,-67.158765
00624,,,18.051808,-66.721711
00627,,,18.412423,-66.863708
00631,,,18.184294,-66.830795
00636,,,18.163600,-67.080097
00637,,,18.080103,-66.947975
00638,,,18.280188,-66.513111
00641,,,18.268074,-66.701785
00646,Dorado,PR,18.432897,-66.286499
00647,,,17.963613,-66.947127
00650,,,18.349209,-66.578112
00652,,,18.448446,-66.594111
00653,,,17.988642,-66.901690
00656,,,18.040467,-66.789680
00659,,,18.407304,-66.808995
00660,,,18.134695,-67.116199
00662,,,18.468299,-67.015743
00664,,,18.210328,-66.591615
00667,,,18.003263,-67.036138
00669,,,18.276925,-66.869587
00670,,,18.233507,-66.987629
00674,,,18.424146,-66.487900
00676,,,18.381597,-67.080884
00677,,,18.332568,-67.227022
00678,,,18.430503,-66.930479
00680,,,18.183493,-67.133054
00682,,,18.224864,-67.153891
00683,,,18.107800,-67.037263
00685,,,18.336889,-66.972951
00687,,,18.318017,-66.420392
00688,,,18.382305,-66.626393
00690,,,18.493543,-67.096915
00692,,,18.410652,-66.336202
00693,,,18.425961,-66.398098
00694,,,18.483127,-66.392360
00698,,,18.072916,-66.851190
00703,,,18.248401,-66.130662
00704,,,17.973168,-66.229011
00705,,,18.128960,-66.266691
00707,,,18.014055,-65.920751
00714,,,17.995867,-66.055529
00715,,,17.990485,-66.566143
00716,,,17.985014,-66.606721
00717,,,18.002639,-66.611087
00718,,,18.232010,-65.756036
00719,,,18.289920,-66.253440
00720,,,18.216608,-66.423682
00723,,,18.019337,-66.001862
00725,,,18.220689,-66.039580
00727,,,18.211921,-66.073355
00728,,,17.991071,-66.662968
00729,,,18.334918,-65.887078
00730,,,18.030882,-66.611928
00731,,,18.109947,-66.635622
00735,,,18.252179,-65.665631
00736,,,18.103624,-66.151667
00738,,,18.304458,-65.698711
00739,,,18.175543,-66.162102
00740,,,18.333961,-65.631674
00741,,,18.163857,-65.754041
00745,,,18.352176,-65.810929
00751,,,18.003779,-66.262905
00754,,,18.144582,-65.972253
00757,,,17.991428,-66.402337
00765,,,18.124207,-65.423070
00766,,,18.130718,-66.472244
00767,,,18.069489,-65.896029
00769,,,18.096641,-66.358335
00771,,,18.187152,-65.871194
00772,,,18.438944,-65.905220
00773,,,18.342888,-65.723109
00775,,,18.326611,-65.307771
00777,,,18.224327,-65.909085
00778,,,18.264076,-65.978510
00780,,,18.094076,-66.565781
00782,,,18.224878,-66.224482
00783,,,18.300222,-66.328927
00784,,,18.010714,-66.133615
