zip,city,state,latitude,longitude
84003,American Fork,UT,40.3769,-111.7958
84004,Alpine,UT,40.4530,-111.7780
84005,Eagle Mountain,UT,40.3140,-112.0060
84020,Draper,UT,40.5247,-111.8638
84042,Lindon,UT,40.3430,-111.7200
84043,Lehi,UT,40.3916,-111.8508
84045,Saratoga Springs,UT,40.3490,-111.9040
84047,Midvale,UT,40.6116,-111.8993
84057,Orem,UT,40.2969,-111.6946
84058,Orem,UT,40.2800,-111.7150
84062,Pleasant Grove,UT,40.3641,-111.7385
84065,Riverton,UT,40.4930,-111.9420
84070,Sandy,UT,40.5790,-111.8830
84081,West Jordan,UT,40.6040,-112.0070
84084,West Jordan,UT,40.6220,-111.9680
84088,West Jordan,UT,40.5970,-111.9580
84092,Sandy,UT,40.5610,-111.8120
84094,Sandy,UT,40.5700,-111.8540
84095,South Jordan,UT,40.5622,-111.9297
84096,Herriman,UT,40.5140,-112.0330
84101,Salt Lake City,UT,40.7563,-111.9007
84102,Salt Lake City,UT,40.7600,-111.8630
84103,Salt Lake City,UT,40.7770,-111.8760
84107,Murray,UT,40.6570,-111.8870
84111,Salt Lake City,UT,40.7563,-111.8768
84115,South Salt Lake,UT,40.7180,-111.8910
84119,West Valley City,UT,40.6920,-112.0010
84121,Cottonwood Heights,UT,40.6200,-111.8100
84601,Provo,UT,40.2340,-111.6760
84604,Provo,UT,40.2555,-111.6493
84606,Provo,UT,40.2340,-111.6450
84663,Springville,UT,40.1650,-111.6110
