zip,city,state,latitude,longitude
84001,,UT,40.345248,-110.273487
84002,,UT,40.431158,-110.288359
84003,American Fork,UT,40.471654,-111.680590
84004,Alpine,UT,40.488843,-111.727776
84005,Eagle Mountain,UT,40.322736,-111.999426
84006,,UT,40.596926,-112.123800
84007,,UT,40.345116,-110.203186
84008,,UT,40.033440,-109.193763
84009,,UT,40.553454,-112.018129
84010,Bountiful,UT,40.873122,-111.835036
84013,,UT,40.295982,-112.094475
84014,,UT,40.936646,-111.833312
84015,,UT,41.120356,-112.060775
84017,,UT,40.956239,-111.214298
84018,,UT,41.221884,-111.448409
84020,Draper,UT,40.497673,-111.866118
84021,,UT,40.108226,-110.533757
84022,,UT,40.350464,-112.640285
84023,,UT,40.903341,-109.217325
84024,,UT,41.007673,-111.447161
84025,,UT,40.975812,-111.899335
84026,,UT,40.294056,-109.845098
84027,,UT,40.155190,-110.777931
84028,,UT,41.937391,-111.389504
84029,,UT,40.572887,-112.953253
84031,,UT,40.650103,-110.656708
84032,,UT,40.369309,-111.187015
84033,,UT,40.979974,-111.491490
84034,,UT,39.992371,-113.878933
84035,,UT,40.408831,-109.292489
84036,,UT,40.699219,-111.020425
84037,,UT,41.022480,-111.948762
84038,,UT,41.892017,-111.263545
84039,,UT,40.440132,-109.812742
84040,,UT,41.091695,-111.897185
84041,,UT,41.069929,-111.981255
84042,Lindon,UT,40.341125,-111.724706
84043,Lehi,UT,40.411552,-111.874280
84044,,UT,40.736085,-112.121213
84045,Saratoga Springs,UT,40.292383,-111.928756
84046,,UT,40.952558,-109.796276
84047,Midvale,UT,40.615317,-111.891815
84049,,UT,40.504123,-111.513399
84050,,UT,41.024099,-111.664031
84051,,UT,40.389463,-110.427015
84052,,UT,40.166509,-109.997739
84053,,UT,40.434984,-109.986655
84054,,UT,40.838644,-111.917850
84055,,UT,40.745067,-111.149113
84056,,UT,41.129126,-111.991930
84057,Orem,UT,40.314256,-111.709495
84058,Orem,UT,40.274761,-111.714706
84059,,UT,40.303539,-111.748581
84060,,UT,40.644391,-111.506642
84061,,UT,40.764039,-111.318822
84062,Pleasant Grove,UT,40.383842,-111.681871
84063,,UT,40.211814,-109.694218
84064,,UT,41.682918,-111.112032
84065,Riverton,UT,40.493936,-111.943725
84066,,UT,40.346286,-110.067282
84067,,UT,41.171886,-112.048031
84069,,UT,40.365189,-112.485465
84070,Sandy,UT,40.577114,-111.889106
84071,,UT,40.353814,-112.267902
84072,,UT,40.364041,-110.632985
84073,,UT,40.345859,-110.416340
84074,Tooele,UT,40.582074,-112.303592
84075,,UT,41.056525,-112.069852
84076,,UT,40.447153,-109.840165
84078,,UT,40.465526,-109.510856
84080,,UT,40.033229,-112.451892
84081,West Jordan,UT,40.602762,-112.038247
84082,,UT,40.340345,-111.361662
84083,,UT,40.817789,-113.739568
84084,West Jordan,UT,40.621392,-111.966054
84085,,UT,40.578587,-109.924987
84086,,UT,41.417628,-111.201226
84087,Woods Cross,UT,40.889116,-111.928230
84088,West Jordan,UT,40.595070,-111.960812
84092,Sandy,UT,40.551993,-111.714800
84093,,UT,40.594711,-111.828542
84094,Sandy,UT,40.571647,-111.861939
84095,South Jordan,UT,40.558566,-111.941674
84096,Herriman,UT,40.487037,-112.099983
84097,Orem,UT,40.304692,-111.673174
84098,Park City,UT,40.746854,-111.532877
84101,Salt Lake City,UT,40.756311,-111.899962
